date,code,name,open,high,low,close,volume
2024-01-02,D001,演示银行,12.0,12.2096,11.7904,12.0,3937779
2024-01-03,D001,演示银行,12.0727,12.2197,11.9751,12.1217,5059158
2024-01-04,D001,演示银行,12.0365,12.1448,11.8727,11.9804,5612784
2024-01-05,D001,演示银行,11.9261,12.0039,11.8126,11.8901,2901653
2024-01-08,D001,演示银行,11.94,12.0477,11.8659,11.9734,3150363
2024-01-09,D001,演示银行,11.9441,11.9972,11.8715,11.9246,3243759
2024-01-10,D001,演示银行,11.8974,11.9483,11.8286,11.8794,4540349
2024-01-11,D001,演示银行,12.0246,12.2972,11.8523,12.1235,4964081
2024-01-12,D001,演示银行,12.2136,12.3908,12.0979,12.2745,5445898
2024-01-15,D001,演示银行,12.3605,12.5308,12.2488,12.4185,6875106
2024-01-16,D001,演示银行,12.4366,12.4917,12.3936,12.4487,3996985
2024-01-17,D001,演示银行,12.4614,12.5075,12.4237,12.4699,4673424
2024-01-18,D001,演示银行,12.5941,12.8308,12.4426,12.6783,4507005
2024-01-19,D001,演示银行,12.5941,12.7026,12.4305,12.5385,8158568
2024-01-22,D001,演示银行,12.4574,12.5626,12.2993,12.404,4217957
2024-01-23,D001,演示银行,12.4037,12.4288,12.3785,12.4036,13834661
2024-01-24,D001,演示银行,12.4874,12.6541,12.3776,12.5439,4628138
2024-01-25,D001,演示银行,12.5169,12.5688,12.4472,12.499,5233570
2024-01-26,D001,演示银行,12.4178,12.523,12.2595,12.3643,7534319
2024-01-29,D001,演示银行,12.3306,12.3888,12.2503,12.3083,6682467
2024-01-30,D001,演示银行,12.3211,12.3672,12.2836,12.3297,5036873
2024-01-31,D001,演示银行,12.3097,12.3543,12.2519,12.2964,4168102
2024-02-01,D001,演示银行,12.2896,12.321,12.2538,12.2851,4791505
2024-02-02,D001,演示银行,12.3062,12.3661,12.2605,12.3203,6422415
2024-02-05,D001,演示银行,12.2776,12.3446,12.1824,12.2493,13837787
2024-02-06,D001,演示银行,12.3079,12.4312,12.2242,12.3473,6091830
2024-02-07,D001,演示银行,12.3268,12.3719,12.2681,12.3131,7698873
2024-02-08,D001,演示银行,12.1763,12.335,11.9293,12.0868,7039740
2024-02-09,D001,演示银行,12.1407,12.2557,12.0621,12.1769,5066960
2024-02-12,D001,演示银行,12.1905,12.2377,12.1525,12.1996,8704276
2024-02-13,D001,演示银行,12.1998,12.2245,12.1752,12.1999,3602216
2024-02-14,D001,演示银行,12.1308,12.2235,11.9927,12.0851,6338423
2024-02-15,D001,演示银行,11.9938,12.1079,11.8201,11.9337,3830254
2024-02-16,D001,演示银行,11.9301,11.9575,11.9002,11.9277,3220300
2024-02-19,D001,演示银行,11.9419,11.9896,11.9038,11.9514,4461224
2024-02-20,D001,演示银行,11.9398,11.9753,11.8965,11.932,2635729
2024-02-21,D001,演示银行,11.8534,11.9548,11.7005,11.8015,5240790
2024-02-22,D001,演示银行,11.9059,12.1071,11.7762,11.9766,4579989
2024-02-23,D001,演示银行,12.054,12.2091,11.9516,12.1062,4919628
2024-02-26,D001,演示银行,12.0996,12.1304,12.0643,12.0951,4460186
2024-02-27,D001,演示银行,12.2169,12.4487,12.0687,12.2994,3864467
