code,name,sector,pe,pb,roe,mcap
D001,演示银行,金融,5.8,0.65,0.12,180000000000.0
D002,演示保险,金融,8.5,1.1,0.11,90000000000.0
D003,演示证券,金融,12.0,1.4,0.08,42000000000.0
D004,演示消费,消费,22.0,5.5,0.22,76000000000.0
D005,演示医药,医药,28.0,4.2,0.15,51000000000.0
D006,演示制造,制造,16.0,2.1,0.13,38000000000.0
D007,演示能源,能源,11.0,1.3,0.1,64000000000.0
D008,演示电力,能源,14.0,1.8,0.09,52000000000.0
D009,演示科技,科技,45.0,6.8,0.07,29000000000.0
D010,演示传媒,可选,38.0,3.9,0.05,12000000000.0
D011,演示新能源,制造,52.0,4.5,0.04,21000000000.0
D012,演示军工,制造,48.0,3.2,0.06,16000000000.0
